Name;ID;Initial Class;Age;Gender;Birth Month;Birth Day;Support Type;Innate Prof.;Sub Proficiency;Level;Internal Level;HP Base;Str Base;Mag Base;Dex Base;Spd Base;Def Base;Res Base;Lck Base;Bld Base;Mov Base;SP;HP Growth;Str Growth;Mag Growth;Dex Growth;Spd Growth;Def Growth;Res Growth;Lck Growth;Bld Growth;HP Cap+;Str Cap+;Mag Cap+;Dex Cap+;Spd Cap+;Def Cap+;Res Cap+;Lck Cap+;Common Skills;Normal Skills;Hard Skills;Maddening Skills;Engage Skills;Origin;Description;HP Base Hard;Str Base Hard;Mag Base Hard;Dex Base Hard;Spd Base Hard;Def Base Hard;Res Base Hard;Lck Base Hard;Bld Base Hard;Mov Base Hard;HP Base Maddening;Str Base Maddening;Mag Base Maddening;Dex Base Maddening;Spd Base Maddening;Def Base Maddening;Res Base Maddening;Lck Base Maddening;Bld Base Maddening;Mov Base Maddening
Elusian Soldier;PID_M007_??????_???????;Sword Flier;---;Female;---;---;Default;---;---;9;0;25;5;3;10;12;2;6;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;28;9;6;12;14;7;11;5;5;5;29;10;7;14;15;8;12;5;5;5
Elusian Soldier;PID_M007_??????_???????;Sword Armor;---;Male;---;---;Default;---;---;10;0;31;8;0;9;3;12;0;2;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;35;14;1;11;4;19;2;3;9;4;36;15;2;13;3;21;4;3;9;4
Elusian Soldier;PID_M007_??????_???????;Lance Armor;---;Male;---;---;Default;---;---;10;0;31;8;0;9;3;12;0;2;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;35;14;1;11;4;19;2;3;9;4;36;15;2;13;3;21;4;3;9;4
Elusian Soldier;PID_M007_??????_??????;Axe Cavalier;---;Male;---;---;Default;---;---;10;0;28;6;1;11;10;4;3;3;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;32;11;3;14;12;9;6;4;8;5;33;13;4;15;11;11;8;4;8;5
Elusian Soldier;PID_M007_??????_???;Mage;---;Female;---;---;Default;---;---;8;0;19;0;6;8;8;0;6;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;21;3;11;9;9;3;11;2;5;4;22;4;13;10;9;5;13;2;5;4
Elusian Soldier;PID_M007_??????_???;Martial Monk;---;Male;---;---;Default;---;---;8;0;21;2;4;7;7;2;7;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;23;6;9;9;8;6;12;4;4;4;24;7;10;10;8;7;14;4;4;4
Elusian Soldier;PID_M007_??????_?????;Archer;---;Male;---;---;Default;---;---;8;0;22;7;0;11;7;3;2;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;10;1;14;8;5;4;4;5;4;26;11;2;15;9;6;5;4;5;4
Ivy;PID_M008_????;Wing Tamer;---;Female;---;---;Default;Tome;Staff;12;0;28;7;11;11;9;10;12;4;7;5;0;65;35;45;35;50;40;45;20;15;0;0;0;0;0;0;0;0;Single-Minded, (Stuck), (Foe with Death Convo);(Hit/Avoid -10);Stalwart;Veteran+;---;---;The mysterious, melancholy crown princess of Elusia. She never relaxes her icy royal decorum.;28;12;12;11;11;11;12;4;7;5;33;14;17;15;15;11;13;10;7;5
Kagetsu;PID_M008_???;Swordmaster;---;Male;---;---;Default;Sword;---;1;0;35;8;5;15;18;10;8;14;9;5;0;75;45;20;60;60;50;35;50;15;0;0;0;0;0;0;0;0;Blinding Flash, (Stuck), (Foe with Death Convo);(Hit/Avoid -20);---;Veteran+;---;---;Princess Ivy's retainer. A handsome young man from outside Elusia who speaks freely and without inhibition.;35;12;5;20;18;12;8;14;9;5;35;15;3;20;20;12;10;14;9;5
Zelkov;PID_M008_????;Thief;---;Male;---;---;Default;Dagger;---;11;0;30;6;2;10;15;5;8;2;6;5;0;80;35;20;50;45;35;20;30;15;0;0;0;0;0;0;0;0;Not *Quite*, (Stuck), (Foe with Death Convo);(Hit/Avoid -20);---;Veteran+;---;---;Princess Ivy's retainer. An enigmatic man who's always absorbed in intrigues of his own making.;30;9;2;10;16;6;8;2;6;5;32;12;2;21;17;10;14;5;6;5
Elusian Soldier;PID_M008_??????_????????;Lance Fighter;---;Male;---;---;Default;---;---;11;0;31;8;4;14;11;7;4;3;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;31;12;5;15;11;8;6;4;6;4;33;14;7;16;12;11;8;4;6;4
Elusian Soldier;PID_M008_??????_????????;Sword Fighter;---;Male;---;---;Default;---;---;11;0;28;8;0;13;12;5;4;4;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;28;9;1;13;15;7;6;5;6;4;29;11;3;14;16;9;8;5;6;4
Elusian Soldier;PID_M008_??????_????????;Axe Fighter;---;Male;---;---;Default;---;---;11;0;37;8;0;8;9;4;1;1;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;38;14;1;8;9;6;3;2;9;4;34;16;2;10;9;7;5;2;9;4
Elusian Soldier;PID_M008_??????_???;Mage;---;Female;---;---;Default;---;---;11;0;22;0;7;10;8;2;10;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;22;2;13;10;8;4;13;4;5;4;23;5;14;12;10;6;15;4;5;4
Elusian Soldier;PID_M008_??????_?????;Archer;---;Female;---;---;Default;---;---;11;0;27;8;0;15;8;4;3;3;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;27;11;1;16;9;6;5;4;6;4;28;13;3;17;11;8;7;4;6;4
Elusian Soldier;PID_M008_??????_???;Thief;---;Male;---;---;Default;---;---;11;0;29;7;1;15;16;6;4;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;29;10;2;16;16;8;6;5;6;5;30;13;4;19;17;13;8;5;6;5
Elusian Soldier;PID_M008_??????_???;Martial Monk;---;Female;---;---;Default;---;---;11;0;25;4;8;10;8;5;11;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;6;10;10;9;7;14;5;4;4;26;9;11;11;11;9;16;5;4;4
Elusian Soldier;PID_M008_??????_???????;Axe Armor;---;Male;---;---;Default;---;---;11;0;35;8;0;11;1;15;0;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;35;13;1;12;4;19;2;4;9;4;36;15;2;13;5;21;4;4;9;4
Elusian Soldier;PID_M008_??????_???????;Sword Flier;---;Female;---;---;Default;---;---;11;0;25;8;5;13;14;2;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;9;6;14;15;4;11;6;5;5;30;11;8;15;16;9;13;6;5;5
Elusian Soldier;PID_M008_??????_???????;Lance Flier;---;Female;---;---;Default;---;---;11;0;25;7;5;13;14;2;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;9;6;14;15;4;11;6;5;5;30;11;8;15;16;9;13;6;5;5
Elusian Soldier;PID_M008_??????_???????;Axe Flier;---;Female;---;---;Default;---;---;11;0;25;7;5;13;14;2;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;9;6;14;15;4;11;6;5;5;30;11;8;15;16;9;13;6;5;5
Elusian Soldier;PID_M008_??????_???????_?????;Sword Flier;---;Female;---;---;Default;---;---;11;0;25;8;5;13;14;2;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;9;6;14;15;4;11;6;5;5;30;11;8;15;16;9;13;6;5;5
Elusian Soldier;PID_M008_??????_???????_?????;Lance Flier;---;Female;---;---;Default;---;---;11;0;25;7;5;13;14;2;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;9;6;14;15;4;11;6;5;5;30;11;8;15;16;9;13;6;5;5
Elusian Soldier;PID_M008_??????_???????_?????;Axe Flier;---;Female;---;---;Default;---;---;11;0;25;7;5;13;14;2;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;9;6;14;15;4;11;6;5;5;30;11;8;15;16;9;13;6;5;5
Elusian Soldier;PID_M008_??????_???????_?????2;Sword Flier;---;Female;---;---;Default;---;---;11;0;25;8;5;13;14;2;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;9;6;14;15;4;11;6;5;5;30;11;8;15;16;9;13;6;5;5
Elusian Soldier;PID_M008_??????_???????_?????2;Lance Flier;---;Female;---;---;Default;---;---;11;0;25;7;5;13;14;2;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;9;6;14;15;4;11;6;5;5;30;11;8;15;16;9;13;6;5;5
Elusian Soldier;PID_M008_??????_???????_?????2;Axe Flier;---;Female;---;---;Default;---;---;11;0;25;7;5;13;14;2;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;9;6;14;15;4;11;6;5;5;30;11;8;15;16;9;13;6;5;5
Corrupted;PID_M008_???_????????;Sword Fighter;---;Male;---;---;Default;---;---;11;0;28;6;0;13;13;5;2;4;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;28;9;1;13;15;7;6;5;6;4;29;11;3;14;16;9;8;5;6;4
Corrupted;PID_M008_???_????????;Lance Fighter;---;Male;---;---;Default;---;---;11;0;31;7;4;14;10;7;2;3;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;31;12;5;15;11;9;6;4;6;4;33;14;7;16;12;11;8;4;6;4
Corrupted;PID_M008_???_????????;Axe Fighter;---;Male;---;---;Default;---;---;11;0;37;8;0;8;9;4;1;1;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;38;14;1;8;9;6;3;2;9;4;38;16;2;10;10;8;5;2;9;4
Corrupted;PID_M008_???_???????;Sword Armor;---;Male;---;---;Default;---;---;11;0;35;8;0;11;3;16;0;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;35;13;1;12;4;19;2;4;9;4;36;15;2;13;5;21;4;4;9;4
Corrupted;PID_M008_???_???????;Axe Armor;---;Male;---;---;Default;---;---;11;0;35;8;0;11;3;16;0;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;35;13;1;12;4;19;2;4;9;4;36;15;2;13;5;21;4;4;9;4
Ivy;PID_M009_????;Wing Tamer;---;Female;---;---;Default;Tome;Staff;14;0;31;6;10;11;9;10;12;4;7;5;0;55;25;35;25;40;30;35;15;10;0;0;0;0;0;0;0;0;Single-Minded, (Stuck), (Foe with Death Convo);(Hit/Avoid -20);Stalwart;Veteran+;---;---;The mysterious, melancholy crown princess of Elusia. She never relaxes her icy royal decorum.;31;6;14;11;11;11;12;4;7;5;33;6;17;14;14;11;13;10;7;5
Kagetsu;PID_M009_???;Swordmaster;---;Male;---;---;Default;Sword;---;2;0;37;10;3;21;19;11;4;14;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Blinding Flash, (Stuck), (Foe with Death Convo);(Hit/Avoid -20);---;Veteran+;---;---;Princess Ivy's retainer. A handsome young man from outside Elusia who speaks freely and without inhibition.;37;12;6;21;19;13;8;14;9;5;37;16;7;20;22;12;12;16;8;5
Zelkov;PID_M009_????;Thief;---;Male;---;---;Default;Dagger;---;12;0;29;8;1;18;18;8;6;5;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Not *Quite*, (Stuck), (Foe with Death Convo);(Hit/Avoid -20);---;Veteran+;---;---;Princess Ivy's retainer. An enigmatic man who's always absorbed in intrigues of his own making.;29;10;3;18;18;10;8;5;7;5;34;14;4;25;20;10;14;8;6;5
Elusian Soldier;PID_M009_??????_???????;Lance Armor;---;Male;---;---;Default;---;---;12;0;35;11;0;12;4;12;0;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;35;14;1;12;4;19;2;4;9;4;37;16;2;13;5;22;4;4;9;4
Elusian Soldier;PID_M009_??????_???????;Axe Armor;---;Male;---;---;Default;---;---;12;0;35;11;0;12;4;12;0;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;35;14;1;12;4;19;2;4;9;4;37;15;2;13;5;22;4;4;9;4
Elusian Soldier;PID_M009_??????_????????;Lance Armor;---;Male;---;---;Default;---;---;12;0;35;11;0;12;4;12;0;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;35;14;1;12;4;19;2;4;9;4;37;16;2;13;5;22;4;4;9;4
Elusian Soldier;PID_M009_??????_????????;Axe Armor;---;Male;---;---;Default;---;---;12;0;35;11;0;12;4;12;0;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;35;14;1;12;4;19;2;4;9;4;37;15;2;13;5;22;4;4;9;4
Elusian Soldier;PID_M009_??????_??????;Lance Cavalier;---;Male;---;---;Default;---;---;12;0;32;9;1;14;12;7;4;4;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;32;12;3;14;12;9;6;5;8;5;34;13;4;16;14;11;9;5;8;5
Elusian Soldier;PID_M009_??????_??????;Axe Cavalier;---;Male;---;---;Default;---;---;12;0;32;9;1;14;12;7;4;4;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;32;12;3;14;7;7;4;5;8;5;34;13;4;16;9;10;5;5;8;5
Corrupted;PID_M009_???_???;Martial Monk;---;Female;---;---;Default;---;---;12;0;25;5;8;10;9;5;11;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;22;7;10;10;7;3;14;5;4;4;24;9;12;12;9;5;16;5;4;4
Corrupted;PID_M009_???_?????;Archer;---;Female;---;---;Default;---;---;12;0;27;9;0;16;9;4;3;3;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;27;12;1;16;9;6;5;4;6;4;29;13;3;17;11;8;7;4;6;4
Elusian Soldier;PID_M009_??????_???;Mage;---;Female;---;---;Default;---;---;11;0;22;1;10;10;10;2;10;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;22;3;12;10;10;4;13;4;5;4;23;5;14;12;12;6;15;4;5;4
Corrupted;PID_M009_???_????????_1;Sword Fighter;---;Male;---;---;Default;---;---;12;0;28;7;0;13;15;5;4;4;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;28;10;1;13;15;7;6;5;6;4;30;12;3;15;16;10;9;5;6;4
Corrupted;PID_M009_???_????????_2;Sword Fighter;---;Male;---;---;Default;---;---;12;0;28;7;0;13;15;5;4;4;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;28;10;1;13;15;7;6;5;6;4;30;12;3;15;16;10;9;5;6;4
Corrupted;PID_M009_???_????????;Lance Fighter;---;Male;---;---;Default;---;---;12;0;32;10;4;15;11;7;4;3;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;32;13;5;15;11;9;6;4;6;4;34;14;7;16;13;11;8;4;6;4
Corrupted;PID_M009_???_????????;Axe Fighter;---;Male;---;---;Default;---;---;12;0;38;11;0;8;9;4;1;1;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;38;15;1;8;9;6;3;2;9;4;39;17;2;10;11;9;5;2;9;4
Corrupted;PID_M009_???_???_1;Thief;---;Male;---;---;Default;---;---;12;0;29;7;1;18;16;5;7;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;29;9;2;18;16;6;9;5;6;5;31;14;4;19;18;9;8;5;6;5
Corrupted;PID_M009_???_???_2;Thief;---;Male;---;---;Default;---;---;12;0;29;7;1;18;16;5;7;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;29;9;2;18;16;6;9;5;6;5;31;14;4;19;18;9;8;5;6;5
Elusian Soldier;PID_M009_??????_???????;Sword Flier;---;Female;---;---;Default;---;---;12;0;29;7;5;14;15;5;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;29;10;6;14;15;7;11;6;5;5;31;12;8;15;17;10;14;6;5;5
Elusian Soldier;PID_M009_??????_???????;Lance Flier;---;Female;---;---;Default;---;---;12;0;29;7;5;14;15;5;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;29;10;6;14;15;7;11;6;5;5;31;12;8;15;17;10;14;6;5;5
Elusian Soldier;PID_M009_??????_???????;Axe Flier;---;Female;---;---;Default;---;---;12;0;29;7;5;14;15;5;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;29;10;6;14;15;7;11;6;5;5;31;12;8;15;17;10;14;6;5;5
Elusian Soldier;PID_M009_??????_???????_??????;Sword Flier;---;Female;---;---;Default;---;---;12;0;32;7;5;14;15;5;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;32;11;6;14;15;7;11;5;5;5;31;12;8;15;17;10;14;6;5;5
Elusian Soldier;PID_M009_??????_???????_??????;Lance Flier;---;Female;---;---;Default;---;---;12;0;32;7;5;14;16;5;9;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;32;11;6;14;16;7;11;6;5;5;31;12;8;15;17;10;14;6;5;5
Elusian Soldier;PID_M009_??????_???????_??????;Lance Armor;---;Male;---;---;Default;---;---;12;0;38;11;0;12;4;16;0;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;38;15;1;12;4;19;2;4;9;4;37;16;2;13;5;22;4;4;9;4
Elusian Soldier;PID_M009_??????_???????_??????;Axe Armor;---;Male;---;---;Default;---;---;12;0;38;11;0;12;4;16;0;3;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;38;14;1;12;4;19;2;4;9;4;37;15;2;13;5;22;4;4;9;4
Elusian Soldier;PID_M009_??????_???;Martial Monk;---;Female;---;---;Default;---;---;12;0;25;6;8;10;9;5;11;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;25;7;10;10;9;7;14;5;4;4;27;9;12;12;11;9;16;5;4;4
Brodian Soldier;PID_M009_??????_???????;Sword Armor;---;Male;---;---;Default;---;---;12;0;35;12;0;12;4;16;0;4;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Brodian army.;35;14;1;12;4;19;2;4;9;4;37;16;2;13;5;22;4;4;9;4
Brodian Soldier;PID_M009_??????_??????;Sword Cavalier;---;Female;---;---;Default;---;---;12;0;32;10;1;14;12;7;4;5;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Brodian army.;32;12;3;14;12;9;6;5;8;5;34;13;4;16;14;11;9;5;8;5
Brodian Soldier;PID_M009_??????_???;Martial Monk;---;Female;---;---;Default;---;---;12;0;25;6;8;10;9;5;11;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Brodian army.;25;7;10;10;9;7;14;5;4;4;27;9;12;12;11;9;16;5;4;4
Hyacinth;PID_M010_??????;Martial Master;---;Male;---;---;Default;Staff, Arts;---;2;14;35;10;11;12;13;8;13;8;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;(Stuck), (Foe with Death Convo);(Hit/Avoid -20);---;Unbreakable;---;---;The cunning king of Elusia. Worships the Fell Dragon and schemes for the advancement of his country.;37;15;16;13;13;12;18;9;9;5;40;16;18;16;14;15;21;9;9;5
Hortensia;PID_M010_??????;Wing Tamer;---;Female;---;---;Default;Staff;Tome;15;0;24;3;8;14;14;4;16;13;5;5;0;50;25;25;45;60;30;65;60;5;0;0;0;0;0;0;0;0;Big Personality, (Stuck), (Foe with Death Convo);(Hit/Avoid -20);Stalwart;Veteran+;---;---;A mischievous, spoiled princess of Elusia. She is nonetheless devoted to her family and friends.;25;4;9;15;16;5;20;14;5;5;28;5;10;18;17;8;23;14;5;5
Rosado;PID_M010_????;Wyvern Knight;---;Male;---;---;Default;Axe;Lance;1;14;34;14;4;13;16;9;5;6;7;6;0;90;70;30;50;55;40;40;25;10;0;0;0;0;0;0;0;0;Stunning Smile, (Stuck), (Foe with Death Convo);(Hit/Avoid -20);Stalwart;Veteran+;---;---;Princess Hortensia's retainer. He loves cute things and always maintains a bright, positive attitude.;37;19;5;15;16;13;9;7;7;6;42;21;6;17;18;16;12;7;7;6
Goldmary;PID_M010_??????;Hero;---;Female;---;---;Default;Lance;Sword;1;14;32;11;1;15;18;10;6;11;8;5;0;80;50;10;35;30;70;35;30;10;0;0;0;0;0;0;0;0;Disarming Sigh, (Stuck), (Foe with Death Convo);(Hit/Avoid -20);---;Veteran+;---;---;Princess Hortensia's retainer. She seems demure on the surface, but is conceited to the core.;34;15;1;16;18;14;10;12;8;5;38;17;1;17;19;17;12;12;8;5
Corrupted Morion;PID_M010_???_????;Hero;---;Male;---;---;Default;Axe;---;2;14;38;15;0;7;15;14;8;9;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;(Foe with Death Convo), (Stuck);(Hit/Avoid -20);Stalwart;Veteran+;---;---;King Morion, sacrificed to resurrect the Fell Dragon. Turned into one of the Corrupted after death.;39;19;3;8;15;16;9;10;10;5;42;21;6;11;16;19;13;10;10;5
Corrupted;PID_M010_???_????????;Sword Fighter;---;Female;---;---;Default;---;---;13;0;27;6;0;12;15;4;3;4;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;29;10;1;14;15;8;7;5;6;4;31;12;3;15;17;10;9;5;6;4
Corrupted;PID_M010_???_???;Martial Monk;---;Male;---;---;Default;---;---;12;0;23;3;6;9;9;3;9;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.;25;7;10;10;9;7;14;4;4;4;27;9;12;12;9;9;16;4;4;4
Elusian Soldier;PID_M010_??????_???????;Axe Armor;---;Male;---;---;Default;---;---;13;0;34;10;0;11;4;15;0;2;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;(Hit/Avoid -20);---;---;---;---;An ordinary soldier in the Elusian army.;36;14;1;12;4;20;2;3;9;4;38;16;2;14;4;23;5;3;9;4
